date,open,high,low,close
2025-01-13,29277.45,29587.41,28556.28,28556.28
2025-01-14,28556.28,29097.25,28349.98,28967.09
2025-01-15,28967.09,29389.93,28967.09,29389.93
2025-01-16,29389.93,29730.63,29389.93,29605.12
2025-01-19,29605.12,29840.53,29605.12,29728.61
2025-01-20,29728.61,29857.25,29610.89,29619.39
2025-01-21,29619.39,29826.58,29607.07,29826.58
2025-01-22,29826.58,30178.66,29826.58,29979.14
2025-01-23,29979.14,30258.34,29947.05,29997.69
2025-01-26,29997.69,30276.52,29995.3,30034.85
2025-01-27,30034.85,30091.04,29726.66,29742.12
2025-01-28,29742.12,29900.15,29646.6,29646.6
2025-01-29,29646.6,29982.32,29646.6,29891.61
2025-01-30,29891.61,30127.35,29891.61,30010.62
2025-02-02,30010.62,30198.22,29917.96,29917.96
2025-02-03,29917.96,30001.23,29698.79,29754.77
2025-02-04,29754.77,29937.39,29668.47,29668.47
2025-02-05,29668.47,29772.63,29596.5,29735.59
2025-02-06,29735.59,30011.84,29735.59,30011.84
2025-02-09,30011.84,30202.01,29948.52,30014.27
2025-02-10,30014.27,30224.26,29905.41,29905.41
2025-02-11,29905.41,29939.86,29453.98,29564.21
2025-02-12,29564.21,29661.99,29040.92,29661.99
2025-02-13,29661.99,29997.11,29661.99,29997.11
2025-02-16,29997.11,30499.93,29997.11,30443.82
2025-02-17,30443.82,30710.66,30376.61,30436.71
2025-02-18,30436.71,30616.18,30427.7,30587.81
2025-02-19,30587.81,30895.11,30587.81,30875.28
2025-02-20,30875.28,30990.28,30843.12,30914.72
2025-02-23,30914.72,31054.96,30749.39,31010.25
2025-02-24,31010.25,31056.36,30824.8,30925.29
2025-02-25,30925.29,30978.89,30596.21,30654.92
2025-02-26,30654.92,30810.05,30620.31,30631.95
2025-02-27,30631.95,30794.95,30561.18,30610.44
2025-03-02,30610.44,30949.64,30610.44,30857.77
2025-03-03,30857.77,31095.6,30857.77,30988.51
2025-03-04,30988.51,31083.42,30762.85,30762.85
2025-03-05,30762.85,30876.44,30645.36,30876.44
2025-03-06,30876.44,30975.93,30868.22,30947.44
2025-03-09,30947.44,31212.02,30947.44,31130.68
2025-03-10,31130.68,31227.43,31048.89,31137.03
2025-03-11,31137.03,31137.03,30827.66,30935.23
2025-03-12,30935.23,31157.07,30935.23,31049.03
2025-03-13,31049.03,31331.41,31049.03,31290.62
2025-03-16,31290.62,31549.01,31290.62,31338.34
2025-03-17,31338.34,31478.63,31244.28,31458.59
2025-03-18,31458.59,31608.69,31415.71,31608.69
2025-03-19,31608.69,31653.51,31343.43,31348.47
2025-03-20,31348.47,31709.42,31348.47,31677.58
2025-03-23,31677.58,32022.17,31676.62,31933.76
2025-03-24,31933.76,32073.0,31757.25,31810.98
2025-03-25,31810.98,31879.23,31761.97,31761.97
2025-03-26,31761.97,31829.21,31566.28,31744.3
2025-03-27,31744.3,32026.14,31743.6,32026.14
2025-04-03,32026.14,32037.45,31606.26,31699.58
2025-04-06,31699.58,31016.04,30257.08,30639.52
2025-04-07,30639.52,30587.74,29993.35,30453.94
2025-04-08,30453.94,30733.64,30380.66,30648.98
2025-04-09,30648.98,30656.5,30011.24,30079.93
2025-04-10,30079.93,30810.7,30503.99,30810.7
2025-04-13,30810.7,31175.1,30793.45,31174.62
2025-04-14,31174.62,31326.25,31178.83,31182.37
2025-04-15,31182.37,31287.56,31086.13,31185.03
2025-04-16,31185.03,31203.61,30926.86,31030.7
2025-04-17,31030.7,31062.95,30860.45,31062.95
2025-04-22,31062.95,31100.23,30844.18,30844.18
2025-04-23,30844.18,31640.22,30853.41,31640.22
2025-04-27,31640.22,31885.2,31620.52,31855.12
2025-04-28,31855.12,32048.68,31768.2,32015.02
2025-04-29,32015.02,32218.68,32043.48,32043.48
2025-04-30,32043.48,32133.99,31962.83,32126.22
2025-05-04,32126.22,32432.71,32127.0,32351.66
2025-05-05,32351.66,32480.47,32204.08,32211.75
2025-05-06,32211.75,32451.82,32215.16,32285.45
2025-05-07,32285.45,32476.82,31840.44,31840.44
2025-05-08,31840.44,31928.92,31636.86,31772.04
2025-05-11,31772.04,32022.63,31427.98,31427.98
2025-05-12,31427.98,31863.55,31432.21,31577.01
2025-05-13,31577.01,31901.26,31579.81,31692.77
2025-05-14,31692.77,31827.86,31622.56,31827.86
2025-05-15,31827.86,31941.15,31792.82,31941.15
2025-05-18,31941.15,32092.99,31706.56,31713.7
2025-05-19,31713.7,31721.66,31317.24,31355.82
2025-05-20,31355.82,31650.33,31353.01,31629.34
2025-05-21,31629.34,31903.08,31529.62,31836.63
2025-05-22,31836.63,32078.07,31791.63,31975.63
2025-05-25,31975.63,32101.2,31928.41,32023.89
